naics,industry,role,bucket_order,receipts_band_usd_000,firms,establishments,employment,payroll_usd_000,receipts_usd_000
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,01,Total,6017,6118,102338,4853916,20317761
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,02,<100,978,978,1005,16035,52485
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,03,100-499,1897,1898,4603,163696,475439
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,04,500-999,1028,1030,5452,232646,750002
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,05,"1,000-2,499",1186,1189,11965,553311,1848940
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,06,"2,500-4,999",479,488,9352,470637,1629512
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,07,"5,000-7,499",159,159,5236,268894,944489
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,08,"7,500-9,999",71,73,3044,164517,587911
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,09,"10,000-14,999",61,61,3605,194227,666783
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,10,"15,000-19,999",34,35,3199,170895,562566
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,11,"20,000-24,999",20,21,2572,122134,378486
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,12,"25,000-29,999",14,14,1784,98161,349127
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,13,"30,000-34,999",11,13,1485,84714,314180
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,14,"35,000-39,999",3,3,341,25245,73703
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,15,"40,000-49,999",13,15,3045,167291,554523
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,16,"50,000-74,999",15,20,3547,165609,688657
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,17,"75,000-99,999",4,5,1911,90570,329866
337110,Wood kitchen cabinet and countertop manufacturing,adjacent_mtm,18,"100,000+",44,116,40192,1865334,10111092
337920,Blind and shade manufacturing,manufacturer,01,Total,302,329,11557,622602,2476776
337920,Blind and shade manufacturing,manufacturer,02,<100,27,27,22,256,1573
337920,Blind and shade manufacturing,manufacturer,03,100-499,89,89,170,6080,25878
337920,Blind and shade manufacturing,manufacturer,04,500-999,39,39,203,7739,26999
