naics,kind_of_business,year,month,period,sales_musd,seasonally_adjusted
442,Furniture and home furnishings stores,2007,4,2007-04,8336.0,False
442,Furniture and home furnishings stores,2007,5,2007-05,9030.0,False
442,Furniture and home furnishings stores,2007,6,2007-06,8932.0,False
442,Furniture and home furnishings stores,2007,7,2007-07,8952.0,False
442,Furniture and home furnishings stores,2007,8,2007-08,9601.0,False
442,Furniture and home furnishings stores,2007,9,2007-09,8643.0,False
442,Furniture and home furnishings stores,2007,10,2007-10,8812.0,False
442,Furniture and home furnishings stores,2007,11,2007-11,9731.0,False
442,Furniture and home furnishings stores,2007,12,2007-12,10192.0,False
442,Furniture and home furnishings stores,2008,1,2008-01,7939.0,False
442,Furniture and home furnishings stores,2008,2,2008-02,7887.0,False
442,Furniture and home furnishings stores,2008,3,2008-03,8158.0,False
442,Furniture and home furnishings stores,2008,4,2008-04,7815.0,False
442,Furniture and home furnishings stores,2008,5,2008-05,8381.0,False
442,Furniture and home furnishings stores,2008,6,2008-06,7904.0,False
442,Furniture and home furnishings stores,2008,7,2008-07,8269.0,False
442,Furniture and home furnishings stores,2008,8,2008-08,8238.0,False
442,Furniture and home furnishings stores,2008,9,2008-09,7474.0,False
442,Furniture and home furnishings stores,2008,10,2008-10,7506.0,False
442,Furniture and home furnishings stores,2008,11,2008-11,7907.0,False
442,Furniture and home furnishings stores,2008,12,2008-12,8630.0,False
442,Furniture and home furnishings stores,2009,1,2009-01,6611.0,False
442,Furniture and home furnishings stores,2009,2,2009-02,6416.0,False
442,Furniture and home furnishings stores,2009,3,2009-03,6713.0,False
442,Furniture and home furnishings stores,2009,4,2009-04,6420.0,False
442,Furniture and home furnishings stores,2009,5,2009-05,6777.0,False
442,Furniture and home furnishings stores,2009,6,2009-06,6722.0,False
442,Furniture and home furnishings stores,2009,7,2009-07,6985.0,False
442,Furniture and home furnishings stores,2009,8,2009-08,6954.0,False
442,Furniture and home furnishings stores,2009,9,2009-09,6764.0,False
442,Furniture and home furnishings stores,2009,10,2009-10,6650.0,False
442,Furniture and home furnishings stores,2009,11,2009-11,7161.0,False
442,Furniture and home furnishings stores,2009,12,2009-12,8156.0,False
442,Furniture and home furnishings stores,2010,1,2010-01,6145.0,False
442,Furniture and home furnishings stores,2010,2,2010-02,6285.0,False
442,Furniture and home furnishings stores,2010,3,2010-03,7062.0,False
442,Furniture and home furnishings stores,2010,4,2010-04,6535.0,False
442,Furniture and home furnishings stores,2010,5,2010-05,6739.0,False
442,Furniture and home furnishings stores,2010,6,2010-06,6703.0,False
442,Furniture and home furnishings stores,2010,7,2010-07,7036.0,False
442,Furniture and home furnishings stores,2010,8,2010-08,7124.0,False
442,Furniture and home furnishings stores,2010,9,2010-09,6898.0,False
442,Furniture and home furnishings stores,2010,10,2010-10,6600.0,False
442,Furniture and home furnishings stores,2010,11,2010-11,7418.0,False
442,Furniture and home furnishings stores,2010,12,2010-12,8249.0,False
442,Furniture and home furnishings stores,2011,1,2011-01,6073.0,False
442,Furniture and home furnishings stores,2011,2,2011-02,6311.0,False
442,Furniture and home furnishings stores,2011,3,2011-03,7319.0,False
442,Furniture and home furnishings stores,2011,4,2011-04,6705.0,False
442,Furniture and home furnishings stores,2011,5,2011-05,6886.0,False
442,Furniture and home furnishings stores,2011,6,2011-06,6839.0,False
442,Furniture and home furnishings stores,2011,7,2011-07,7043.0,False
442,Furniture and home furnishings stores,2011,8,2011-08,7470.0,False
442,Furniture and home furnishings stores,2011,9,2011-09,7242.0,False
442,Furniture and home furnishings stores,2011,10,2011-10,6771.0,False
442,Furniture and home furnishings stores,2011,11,2011-11,7715.0,False
442,Furniture and home furnishings stores,2011,12,2011-12,8787.0,False
442,Furniture and home furnishings stores,2012,1,2012-01,6677.0,False
442,Furniture and home furnishings stores,2012,2,2012-02,6976.0,False
442,Furniture and home furnishings stores,2012,3,2012-03,7568.0,False
442,Furniture and home furnishings stores,2012,4,2012-04,6679.0,False
442,Furniture and home furnishings stores,2012,5,2012-05,7468.0,False
442,Furniture and home furnishings stores,2012,6,2012-06,7175.0,False
442,Furniture and home furnishings stores,2012,7,2012-07,7341.0,False
442,Furniture and home furnishings stores,2012,8,2012-08,7840.0,False
442,Furniture and home furnishings stores,2012,9,2012-09,7239.0,False
442,Furniture and home furnishings stores,2012,10,2012-10,7064.0,False
442,Furniture and home furnishings stores,2012,11,2012-11,8044.0,False
442,Furniture and home furnishings stores,2012,12,2012-12,8987.0,False
442,Furniture and home furnishings stores,2013,1,2013-01,7117.0,False
442,Furniture and home furnishings stores,2013,2,2013-02,6920.0,False
442,Furniture and home furnishings stores,2013,3,2013-03,7695.0,False
442,Furniture and home furnishings stores,2013,4,2013-04,7146.0,False
442,Furniture and home furnishings stores,2013,5,2013-05,7658.0,False
442,Furniture and home furnishings stores,2013,6,2013-06,7390.0,False
442,Furniture and home furnishings stores,2013,7,2013-07,7805.0,False
442,Furniture and home furnishings stores,2013,8,2013-08,8285.0,False
442,Furniture and home furnishings stores,2013,9,2013-09,7686.0,False
442,Furniture and home furnishings stores,2013,10,2013-10,7897.0,False
442,Furniture and home furnishings stores,2013,11,2013-11,8668.0,False
442,Furniture and home furnishings stores,2013,12,2013-12,9013.0,False
442,Furniture and home furnishings stores,2014,1,2014-01,7071.0,False
442,Furniture and home furnishings stores,2014,2,2014-02,7100.0,False
442,Furniture and home furnishings stores,2014,3,2014-03,7966.0,False
442,Furniture and home furnishings stores,2014,4,2014-04,7654.0,False
442,Furniture and home furnishings stores,2014,5,2014-05,8244.0,False
442,Furniture and home furnishings stores,2014,6,2014-06,7749.0,False
442,Furniture and home furnishings stores,2014,7,2014-07,8261.0,False
442,Furniture and home furnishings stores,2014,8,2014-08,8591.0,False
442,Furniture and home furnishings stores,2014,9,2014-09,8235.0,False
442,Furniture and home furnishings stores,2014,10,2014-10,8301.0,False
442,Furniture and home furnishings stores,2014,11,2014-11,8799.0,False
442,Furniture and home furnishings stores,2014,12,2014-12,10053.0,False
442,Furniture and home furnishings stores,2015,1,2015-01,7840.0,False
442,Furniture and home furnishings stores,2015,2,2015-02,7407.0,False
442,Furniture and home furnishings stores,2015,3,2015-03,8495.0,False
442,Furniture and home furnishings stores,2015,4,2015-04,8150.0,False
442,Furniture and home furnishings stores,2015,5,2015-05,8785.0,False
442,Furniture and home furnishings stores,2015,6,2015-06,8479.0,False
442,Furniture and home furnishings stores,2015,7,2015-07,9012.0,False
442,Furniture and home furnishings stores,2015,8,2015-08,9056.0,False
442,Furniture and home furnishings stores,2015,9,2015-09,8886.0,False
442,Furniture and home furnishings stores,2015,10,2015-10,9026.0,False
442,Furniture and home furnishings stores,2015,11,2015-11,9398.0,False
442,Furniture and home furnishings stores,2015,12,2015-12,10810.0,False
442,Furniture and home furnishings stores,2016,1,2016-01,8117.0,False
442,Furniture and home furnishings stores,2016,2,2016-02,8323.0,False
442,Furniture and home furnishings stores,2016,3,2016-03,9198.0,False
442,Furniture and home furnishings stores,2016,4,2016-04,8545.0,False
442,Furniture and home furnishings stores,2016,5,2016-05,8943.0,False
442,Furniture and home furnishings stores,2016,6,2016-06,9056.0,False
442,Furniture and home furnishings stores,2016,7,2016-07,9114.0,False
442,Furniture and home furnishings stores,2016,8,2016-08,9503.0,False
442,Furniture and home furnishings stores,2016,9,2016-09,9461.0,False
442,Furniture and home furnishings stores,2016,10,2016-10,8978.0,False
442,Furniture and home furnishings stores,2016,11,2016-11,9866.0,False
442,Furniture and home furnishings stores,2016,12,2016-12,10756.0,False
442,Furniture and home furnishings stores,2017,1,2017-01,8232.0,False
442,Furniture and home furnishings stores,2017,2,2017-02,8200.0,False
442,Furniture and home furnishings stores,2017,3,2017-03,9605.0,False
442,Furniture and home furnishings stores,2017,4,2017-04,8541.0,False
442,Furniture and home furnishings stores,2017,5,2017-05,9369.0,False
442,Furniture and home furnishings stores,2017,6,2017-06,9317.0,False
442,Furniture and home furnishings stores,2017,7,2017-07,9195.0,False
442,Furniture and home furnishings stores,2017,8,2017-08,9813.0,False
442,Furniture and home furnishings stores,2017,9,2017-09,9467.0,False
442,Furniture and home furnishings stores,2017,10,2017-10,9436.0,False
442,Furniture and home furnishings stores,2017,11,2017-11,10468.0,False
442,Furniture and home furnishings stores,2017,12,2017-12,11181.0,False
442,Furniture and home furnishings stores,2018,1,2018-01,8679.0,False
442,Furniture and home furnishings stores,2018,2,2018-02,8508.0,False
442,Furniture and home furnishings stores,2018,3,2018-03,9963.0,False
442,Furniture and home furnishings stores,2018,4,2018-04,9152.0,False
442,Furniture and home furnishings stores,2018,5,2018-05,9883.0,False
442,Furniture and home furnishings stores,2018,6,2018-06,9692.0,False
442,Furniture and home furnishings stores,2018,7,2018-07,9703.0,False
442,Furniture and home furnishings stores,2018,8,2018-08,10169.0,False
442,Furniture and home furnishings stores,2018,9,2018-09,9560.0,False
442,Furniture and home furnishings stores,2018,10,2018-10,9746.0,False
442,Furniture and home furnishings stores,2018,11,2018-11,10563.0,False
442,Furniture and home furnishings stores,2018,12,2018-12,10912.0,False
442,Furniture and home furnishings stores,2019,1,2019-01,8641.0,False
442,Furniture and home furnishings stores,2019,2,2019-02,8463.0,False
442,Furniture and home furnishings stores,2019,3,2019-03,9825.0,False
442,Furniture and home furnishings stores,2019,4,2019-04,9394.0,False
442,Furniture and home furnishings stores,2019,5,2019-05,10105.0,False
442,Furniture and home furnishings stores,2019,6,2019-06,9565.0,False
442,Furniture and home furnishings stores,2019,7,2019-07,9986.0,False
442,Furniture and home furnishings stores,2019,8,2019-08,10402.0,False
442,Furniture and home furnishings stores,2019,9,2019-09,9914.0,False
442,Furniture and home furnishings stores,2019,10,2019-10,10027.0,False
442,Furniture and home furnishings stores,2019,11,2019-11,10789.0,False
442,Furniture and home furnishings stores,2019,12,2019-12,10926.0,False
442,Furniture and home furnishings stores,2020,1,2020-01,9225.0,False
442,Furniture and home furnishings stores,2020,2,2020-02,9193.0,False
442,Furniture and home furnishings stores,2020,3,2020-03,7897.0,False
442,Furniture and home furnishings stores,2020,4,2020-04,3780.0,False
442,Furniture and home furnishings stores,2020,5,2020-05,7072.0,False
442,Furniture and home furnishings stores,2020,6,2020-06,9581.0,False
442,Furniture and home furnishings stores,2020,7,2020-07,10172.0,False
442,Furniture and home furnishings stores,2020,8,2020-08,10692.0,False
442,Furniture and home furnishings stores,2020,9,2020-09,10671.0,False
442,Furniture and home furnishings stores,2020,10,2020-10,10645.0,False
442,Furniture and home furnishings stores,2020,11,2020-11,10697.0,False
442,Furniture and home furnishings stores,2020,12,2020-12,11493.0,False
442,Furniture and home furnishings stores,2021,1,2021-01,10215.0,False
442,Furniture and home furnishings stores,2021,2,2021-02,9690.0,False
442,Furniture and home furnishings stores,2021,3,2021-03,12133.0,False
442,Furniture and home furnishings stores,2021,4,2021-04,11591.0,False
442,Furniture and home furnishings stores,2021,5,2021-05,11580.0,False
442,Furniture and home furnishings stores,2021,6,2021-06,11350.0,False
442,Furniture and home furnishings stores,2021,7,2021-07,11660.0,False
442,Furniture and home furnishings stores,2021,8,2021-08,11728.0,False
442,Furniture and home furnishings stores,2021,9,2021-09,11616.0,False
442,Furniture and home furnishings stores,2021,10,2021-10,11704.0,False
442,Furniture and home furnishings stores,2021,11,2021-11,12443.0,False
442,Furniture and home furnishings stores,2021,12,2021-12,12340.0,False
442,Furniture and home furnishings stores,2022,1,2022-01,10107.0,False
442,Furniture and home furnishings stores,2022,2,2022-02,10422.0,False
442,Furniture and home furnishings stores,2022,3,2022-03,12363.0,False
442,Furniture and home furnishings stores,2022,4,2022-04,11967.0,False
442,Furniture and home furnishings stores,2022,5,2022-05,11977.0,False
442,Furniture and home furnishings stores,2022,6,2022-06,11654.0,False
442,Furniture and home furnishings stores,2022,7,2022-07,11503.0,False
442,Furniture and home furnishings stores,2022,8,2022-08,12294.0,False
442,Furniture and home furnishings stores,2022,9,2022-09,11852.0,False
442,Furniture and home furnishings stores,2022,10,2022-10,11770.0,False
442,Furniture and home furnishings stores,2022,11,2022-11,12368.0,False
442,Furniture and home furnishings stores,2022,12,2022-12,12227.0,False
442,Furniture and home furnishings stores,2023,1,2023-01,11121.0,False
442,Furniture and home furnishings stores,2023,2,2023-02,10678.0,False
442,Furniture and home furnishings stores,2023,3,2023-03,12098.0,False
442,Furniture and home furnishings stores,2023,4,2023-04,10868.0,False
442,Furniture and home furnishings stores,2023,5,2023-05,11541.0,False
442,Furniture and home furnishings stores,2023,6,2023-06,11338.0,False
442,Furniture and home furnishings stores,2023,7,2023-07,10970.0,False
442,Furniture and home furnishings stores,2023,8,2023-08,11726.0,False
442,Furniture and home furnishings stores,2023,9,2023-09,11092.0,False
442,Furniture and home furnishings stores,2023,10,2023-10,10707.0,False
442,Furniture and home furnishings stores,2023,11,2023-11,11958.0,False
442,Furniture and home furnishings stores,2023,12,2023-12,11490.0,False
442,Furniture and home furnishings stores,2024,1,2024-01,9745.0,False
442,Furniture and home furnishings stores,2024,2,2024-02,10140.0,False
442,Furniture and home furnishings stores,2024,3,2024-03,10801.0,False
442,Furniture and home furnishings stores,2024,4,2024-04,10388.0,False
442,Furniture and home furnishings stores,2024,5,2024-05,11186.0,False
442,Furniture and home furnishings stores,2024,6,2024-06,10597.0,False
442,Furniture and home furnishings stores,2024,7,2024-07,11145.0,False
442,Furniture and home furnishings stores,2024,8,2024-08,11679.0,False
442,Furniture and home furnishings stores,2024,9,2024-09,11038.0,False
442,Furniture and home furnishings stores,2024,10,2024-10,11194.0,False
442,Furniture and home furnishings stores,2024,11,2024-11,12345.0,False
442,Furniture and home furnishings stores,2024,12,2024-12,12455.0,False
442,Furniture and home furnishings stores,2025,1,2025-01,10414.0,False
442,Furniture and home furnishings stores,2025,2,2025-02,10444.0,False
442,Furniture and home furnishings stores,2025,3,2025-03,11549.0,False
442,Furniture and home furnishings stores,2025,4,2025-04,11219.0,False
442,Furniture and home furnishings stores,2025,5,2025-05,11766.0,False
442,Furniture and home furnishings stores,2025,6,2025-06,11053.0,False
442,Furniture and home furnishings stores,2025,7,2025-07,11808.0,False
442,Furniture and home furnishings stores,2025,8,2025-08,11585.0,False
442,Furniture and home furnishings stores,2025,9,2025-09,10888.0,False
442,Furniture and home furnishings stores,2025,10,2025-10,11230.0,False
442,Furniture and home furnishings stores,2025,11,2025-11,11855.0,False
442,Furniture and home furnishings stores,2025,12,2025-12,11764.0,False
442,Furniture and home furnishings stores,2026,1,2026-01,10007.0,False
442,Furniture and home furnishings stores,2026,2,2026-02,9976.0,False
442,Furniture and home furnishings stores,2026,3,2026-03,11486.0,False
442,Furniture and home furnishings stores,2026,4,2026-04,10840.0,False
442,Furniture and home furnishings stores,2026,5,2026-05,11508.0,False
442,Furniture and home furnishings stores,2026,6,2026-06,11270.0,False
442,Furniture and home furnishings stores,1992,1,1992-01,4087.0,True
442,Furniture and home furnishings stores,1992,2,1992-02,4177.0,True
442,Furniture and home furnishings stores,1992,3,1992-03,4172.0,True
442,Furniture and home furnishings stores,1992,4,1992-04,4182.0,True
442,Furniture and home furnishings stores,1992,5,1992-05,4159.0,True
442,Furniture and home furnishings stores,1992,6,1992-06,4239.0,True
442,Furniture and home furnishings stores,1992,7,1992-07,4195.0,True
442,Furniture and home furnishings stores,1992,8,1992-08,4202.0,True
442,Furniture and home furnishings stores,1992,9,1992-09,4182.0,True
442,Furniture and home furnishings stores,1992,10,1992-10,4130.0,True
442,Furniture and home furnishings stores,1992,11,1992-11,4193.0,True
442,Furniture and home furnishings stores,1992,12,1992-12,4260.0,True
442,Furniture and home furnishings stores,1993,1,1993-01,4468.0,True
442,Furniture and home furnishings stores,1993,2,1993-02,4339.0,True
442,Furniture and home furnishings stores,1993,3,1993-03,4304.0,True
442,Furniture and home furnishings stores,1993,4,1993-04,4392.0,True
442,Furniture and home furnishings stores,1993,5,1993-05,4473.0,True
442,Furniture and home furnishings stores,1993,6,1993-06,4446.0,True
442,Furniture and home furnishings stores,1993,7,1993-07,4473.0,True
442,Furniture and home furnishings stores,1993,8,1993-08,4480.0,True
