keyword,batch,geo_name,geo_code,index
extendable dining table,2,Reno NV,811,3
dining table,2,Fresno-Visalia CA,866,95
made to order furniture,2,Fresno-Visalia CA,866,0
white oak dining table,2,Fresno-Visalia CA,866,0
farmhouse dining table,2,Fresno-Visalia CA,866,3
extendable dining table,2,Fresno-Visalia CA,866,2
dining table,2,Monterey-Salinas CA,828,93
made to order furniture,2,Monterey-Salinas CA,828,0
white oak dining table,2,Monterey-Salinas CA,828,0
farmhouse dining table,2,Monterey-Salinas CA,828,2
extendable dining table,2,Monterey-Salinas CA,828,5
dining table,2,Bakersfield CA,800,95
made to order furniture,2,Bakersfield CA,800,0
white oak dining table,2,Bakersfield CA,800,0
farmhouse dining table,2,Bakersfield CA,800,2
extendable dining table,2,Bakersfield CA,800,3
dining table,2,Yuma AZ-El Centro CA,771,95
made to order furniture,2,Yuma AZ-El Centro CA,771,0
white oak dining table,2,Yuma AZ-El Centro CA,771,0
farmhouse dining table,2,Yuma AZ-El Centro CA,771,3
extendable dining table,2,Yuma AZ-El Centro CA,771,2
dining table,2,Chico-Redding CA,868,94
made to order furniture,2,Chico-Redding CA,868,0
white oak dining table,2,Chico-Redding CA,868,0
farmhouse dining table,2,Chico-Redding CA,868,3
extendable dining table,2,Chico-Redding CA,868,3
dining table,2,Medford-Klamath Falls OR,813,94
made to order furniture,2,Medford-Klamath Falls OR,813,0
white oak dining table,2,Medford-Klamath Falls OR,813,0
farmhouse dining table,2,Medford-Klamath Falls OR,813,3
extendable dining table,2,Medford-Klamath Falls OR,813,3
dining table,2,Eureka CA,802,93
made to order furniture,2,Eureka CA,802,0
white oak dining table,2,Eureka CA,802,0
farmhouse dining table,2,Eureka CA,802,3
extendable dining table,2,Eureka CA,802,4
custom dining table,geo_focus,San Francisco-Oakland-San Jose CA,807,13
custom furniture,geo_focus,San Francisco-Oakland-San Jose CA,807,56
solid wood dining table,geo_focus,San Francisco-Oakland-San Jose CA,807,26
handmade dining table,geo_focus,San Francisco-Oakland-San Jose CA,807,2
custom wood desk,geo_focus,San Francisco-Oakland-San Jose CA,807,3
custom dining table,geo_focus,Palm Springs CA,804,10
custom furniture,geo_focus,Palm Springs CA,804,71
solid wood dining table,geo_focus,Palm Springs CA,804,15
handmade dining table,geo_focus,Palm Springs CA,804,0
custom wood desk,geo_focus,Palm Springs CA,804,4
custom dining table,geo_focus,San Diego CA,825,14
custom furniture,geo_focus,San Diego CA,825,55
solid wood dining table,geo_focus,San Diego CA,825,25
handmade dining table,geo_focus,San Diego CA,825,2
custom wood desk,geo_focus,San Diego CA,825,4
custom dining table,geo_focus,Yuma AZ-El Centro CA,771,21
custom furniture,geo_focus,Yuma AZ-El Centro CA,771,44
solid wood dining table,geo_focus,Yuma AZ-El Centro CA,771,35
handmade dining table,geo_focus,Yuma AZ-El Centro CA,771,0
custom wood desk,geo_focus,Yuma AZ-El Centro CA,771,0
custom dining table,geo_focus,Los Angeles CA,803,11
custom furniture,geo_focus,Los Angeles CA,803,59
solid wood dining table,geo_focus,Los Angeles CA,803,25
handmade dining table,geo_focus,Los Angeles CA,803,2
custom wood desk,geo_focus,Los Angeles CA,803,3
custom dining table,geo_focus,Sacramento-Stockton-Modesto CA,862,13
custom furniture,geo_focus,Sacramento-Stockton-Modesto CA,862,54
solid wood dining table,geo_focus,Sacramento-Stockton-Modesto CA,862,28
handmade dining table,geo_focus,Sacramento-Stockton-Modesto CA,862,2
custom wood desk,geo_focus,Sacramento-Stockton-Modesto CA,862,3
custom dining table,geo_focus,Santa Barbara-Santa Maria-San Luis Obispo CA,855,10
custom furniture,geo_focus,Santa Barbara-Santa Maria-San Luis Obispo CA,855,61
solid wood dining table,geo_focus,Santa Barbara-Santa Maria-San Luis Obispo CA,855,29
handmade dining table,geo_focus,Santa Barbara-Santa Maria-San Luis Obispo CA,855,0
custom wood desk,geo_focus,Santa Barbara-Santa Maria-San Luis Obispo CA,855,0
custom dining table,geo_focus,Monterey-Salinas CA,828,13
custom furniture,geo_focus,Monterey-Salinas CA,828,59
solid wood dining table,geo_focus,Monterey-Salinas CA,828,28
handmade dining table,geo_focus,Monterey-Salinas CA,828,0
custom wood desk,geo_focus,Monterey-Salinas CA,828,0
custom dining table,geo_focus,Medford-Klamath Falls OR,813,12
custom furniture,geo_focus,Medford-Klamath Falls OR,813,58
solid wood dining table,geo_focus,Medford-Klamath Falls OR,813,30
handmade dining table,geo_focus,Medford-Klamath Falls OR,813,0
custom wood desk,geo_focus,Medford-Klamath Falls OR,813,0
custom dining table,geo_focus,Fresno-Visalia CA,866,11
custom furniture,geo_focus,Fresno-Visalia CA,866,53
solid wood dining table,geo_focus,Fresno-Visalia CA,866,30
handmade dining table,geo_focus,Fresno-Visalia CA,866,4
custom wood desk,geo_focus,Fresno-Visalia CA,866,2
custom dining table,geo_focus,Reno NV,811,9
custom furniture,geo_focus,Reno NV,811,60
solid wood dining table,geo_focus,Reno NV,811,31
handmade dining table,geo_focus,Reno NV,811,0
custom wood desk,geo_focus,Reno NV,811,0
custom dining table,geo_focus,Bakersfield CA,800,13
custom furniture,geo_focus,Bakersfield CA,800,55
solid wood dining table,geo_focus,Bakersfield CA,800,32
handmade dining table,geo_focus,Bakersfield CA,800,0
custom wood desk,geo_focus,Bakersfield CA,800,0
custom dining table,geo_focus,Eureka CA,802,0
custom furniture,geo_focus,Eureka CA,802,58
solid wood dining table,geo_focus,Eureka CA,802,42
handmade dining table,geo_focus,Eureka CA,802,0
custom wood desk,geo_focus,Eureka CA,802,0
custom dining table,geo_focus,Chico-Redding CA,868,0
custom furniture,geo_focus,Chico-Redding CA,868,65
solid wood dining table,geo_focus,Chico-Redding CA,868,35
handmade dining table,geo_focus,Chico-Redding CA,868,0
custom wood desk,geo_focus,Chico-Redding CA,868,0
