hs_code,hs_label,year,partner_code,partner,value_usd,net_weight_kg,is_aggregate
940330,Wooden furniture — office,2021,404,Kenya,547.0,144.03,False
940330,Wooden furniture — office,2021,218,Ecuador,149555.0,39379.286,False
940330,Wooden furniture — office,2021,608,Philippines,386638.0,101805.545,False
940330,Wooden furniture — office,2021,8,Albania,2813.0,740.69,False
940330,Wooden furniture — office,2021,490,"Other Asia, nes",21891050.0,5764126.331,False
940330,Wooden furniture — office,2021,804,Ukraine,70591.0,18587.297,False
940330,Wooden furniture — office,2021,84,Belize,11156.0,2937.483,False
940330,Wooden furniture — office,2021,792,Türkiye,1630766.0,429396.545,False
940330,Wooden furniture — office,2021,116,Cambodia,2699706.0,710858.841,False
940330,Wooden furniture — office,2021,688,Serbia,29291.0,7712.605,False
940330,Wooden furniture — office,2021,484,Mexico,47250805.0,12441596.419,False
940330,Wooden furniture — office,2021,376,Israel,195796.0,51554.991,False
940330,Wooden furniture — office,2021,320,Guatemala,5306.0,1397.121,False
940330,Wooden furniture — office,2021,784,United Arab Emirates,6760.0,1779.974,False
940330,Wooden furniture — office,2021,752,Sweden,1475986.0,388641.466,False
940330,Wooden furniture — office,2021,458,Malaysia,29657565.0,7809125.252,False
940330,Wooden furniture — office,2021,724,Spain,1604345.0,422439.639,False
940330,Wooden furniture — office,2021,392,Japan,152879.0,40254.527,False
940330,Wooden furniture — office,2021,620,Portugal,880104.0,231739.941,False
940330,Wooden furniture — office,2021,428,Latvia,187773.0,49442.457,False
940330,Wooden furniture — office,2021,642,Romania,4189.0,1103.004,False
940330,Wooden furniture — office,2021,586,Pakistan,18120.0,4771.172,False
940330,Wooden furniture — office,2021,616,Poland,5089498.0,1340114.313,False
940330,Wooden furniture — office,2021,233,Estonia,478520.0,125998.969,False
940330,Wooden furniture — office,2021,360,Indonesia,1776361.0,467733.124,False
940330,Wooden furniture — office,2021,703,Slovakia,2316816.0,610040.181,False
940330,Wooden furniture — office,2021,554,New Zealand,854.0,224.867,False
940330,Wooden furniture — office,2021,124,Canada,351439376.0,92537405.062,False
940330,Wooden furniture — office,2021,702,Singapore,29092.0,7660.206,False
940330,Wooden furniture — office,2021,203,Czechia,25660.0,6756.528,False
940330,Wooden furniture — office,2021,344,"China, Hong Kong SAR",155624.0,40977.312,False
940330,Wooden furniture — office,2021,300,Greece,25277.0,6655.68,False
940330,Wooden furniture — office,2021,764,Thailand,8608699.0,2266754.157,False
